run	fix	temp_c	sm_mhz	mem_mhz	power_w	ecc_unc	n_concurrent_proc
soak-on-1	1	36	135	877	43.1	0	0
soak-off-1	0	38	1530	877	69.9	0	0
soak-on-2	1	39	1530	877	70.1	0	0
soak-off-2	0	40	1530	877	70.5	0	0
soak-on-3	1	38	1530	877	69.9	0	0
soak-off-3	0	38	1530	877	69.7	0	0
soak-on-4	1	39	1530	877	70.1	0	0
soak-off-4	0	40	1530	877	70.3	0	0
soak-on-5	1	38	1530	877	70.0	0	0
soak-off-5	0	38	1530	877	69.8	0	0
soak-on-6	1	39	1530	877	70.1	0	0
soak-off-6	0	39	1530	877	70.3	0	0
soak-on-7	1	39	1530	877	70.1	0	0
soak-off-7	0	38	1530	877	69.7	0	0
soak-on-8	1	39	1530	877	70.0	0	0
soak-off-8	0	40	1530	877	70.3	0	0
soak-on-9	1	39	1530	877	70.1	0	0
soak-off-9	0	38	1530	877	69.8	0	0
soak-on-10	1	39	1530	877	70.1	0	0
soak-off-10	0	40	1530	877	70.3	0	0
soak-on-11	1	39	1530	877	70.2	0	0
soak-off-11	0	38	1530	877	69.8	0	0
soak-on-12	1	38	1530	877	69.7	0	0
soak-off-12	0	39	1530	877	70.1	0	0
soak-on-13	1	39	1530	877	70.3	0	0
soak-off-13	0	39	1530	877	70.3	0	0
soak-on-14	1	38	1530	877	69.8	0	0
soak-off-14	0	38	1530	877	69.8	0	0
soak-on-15	1	39	1530	877	70.1	0	0
soak-off-15	0	40	1530	877	70.3	0	0
soak-on-16	1	39	1530	877	70.1	0	0
soak-off-16	0	38	1530	877	69.9	0	0
soak-on-17	1	39	1530	877	70.1	0	0
soak-off-17	0	39	1530	877	70.2	0	0
soak-on-18	1	39	1290	877	59.1	0	8
