run	temp_c	sm_mhz	mem_mhz	power_w	ecc_unc	n_proc_rows
soak-1	35	135	877	43.0	0	0
soak-2	37	1530	877	69.8	0	0
soak-3	39	1530	877	69.9	0	0
soak-4	39	1530	877	70.2	0	0
soak-5	40	1530	877	70.5	0	0
soak-6	38	1530	877	69.9	0	0
soak-7	38	1530	877	69.8	0	0
soak-8	38	1530	877	69.9	0	0
soak-9	39	1530	877	70.1	0	0
soak-10	40	1530	877	70.3	0	0
soak-11	38	1530	877	70.0	0	0
soak-12	38	1530	877	69.8	0	0
soak-13	38	1530	877	69.7	0	0
soak-14	39	1530	877	70.1	0	0
soak-15	39	1530	877	70.2	0	0
soak-16	40	1530	877	70.3	0	0
soak-17	38	1530	877	69.8	0	0
soak-18	38	1530	877	69.7	0	0
soak-19	39	1530	877	69.9	0	0
soak-20	39	1530	877	70.1	0	0
soak-21	40	1530	877	70.5	0	0
soak-22	38	1530	877	70.0	0	0
soak-23	38	1530	877	69.7	0	0
soak-24	39	1530	877	69.9	0	0
soak-25	39	1530	877	70.3	0	0
soak-26	39	1530	877	70.3	0	0
soak-27	39	1530	877	70.0	0	0
soak-28	40	1530	877	70.3	0	0
soak-29	38	1530	877	69.9	0	0
soak-30	38	1530	877	69.9	0	0
soak-31	38	1530	877	69.7	0	0
soak-32	37	1530	877	69.6	0	0
